slug,title,description,category,product,detail_url,image_url
quickly-prep-for-your-week,Quickly prep for your week,Prepare and prioritize for your upcoming week through connecting your calendar and mail platforms.,Professional,Claude.ai,/resources/use-case/quickly-prep-for-your-week,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690a8c91ae1fafb1070fe1f6_Screenshot%202025-11-04%20at%203.30.20%E2%80%AFPM.png
create-a-process-flowchart,Create a process flowchart,Turn written procedures into visual flowcharts that make complex processes easier to follow and share.,Professional,Claude.ai,/resources/use-case/create-a-process-flowchart,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690ba1c8fdd079c4ed4a1749_Screenshot%202025-11-05%20at%2011.13.02%E2%80%AFAM.png
turn-emails-into-an-event-tracker,Turn emails into an event tracker,"Build an event tracker by extracting dates, locations, and logistics from email threads.",Professional,Claude.ai,/resources/use-case/turn-emails-into-an-event-tracker,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690a8fa3bc86ba2375b4a556_Screenshot%202025-11-04%20at%203.43.17%E2%80%AFPM.png
create-interactive-pdf-forms,Create interactive PDF forms,"Turn forms from static documents into professional, interactive forms that people fill out right in their PDF reader.",Professional,Claude.ai,/resources/use-case/create-interactive-pdf-forms,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690bff0a0d90e3f72a95399f_interactivepdf%201.png
create-custom-course-materials,Create custom course materials,Transform handwritten equations and notes into formatted LaTeX documents without manual typesetting.,Education,Claude.ai,/resources/use-case/create-custom-course-materials,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690a888cf497a9a0ca1b22a8_Screenshot%202025-11-04%20at%203.13.04%E2%80%AFPM.png
compare-and-analyze-competing-options,Compare and analyze competing options,"Upload vendor proposals in any format and get a normalized comparison spreadsheet that extracts pricing structures, contract terms, and feature differences",Professional,Claude.ai,/resources/use-case/compare-and-analyze-competing-options,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690a86259dd1cbe8a2ee0ce7_Screenshot%202025-11-04%20at%203.02.57%E2%80%AFPM.png
create-sales-reports,Create sales reports,"Pull metrics from your CRM, analyze trends, and generate polished reports with data visualizations and strategic insights—all without manual data formatting.",Sales,Claude.ai,/resources/use-case/create-sales-reports,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690a869bed4d79bcb158854e_Screenshot%202025-11-04%20at%203.04.55%E2%80%AFPM.png
prepare-for-sales-deals,Prepare for sales deals,"Pull relevant CRM data, like details on comparable opportunities, to prepare for upcoming sales conversations.",Sales,Claude.ai,/resources/use-case/prepare-for-sales-deals,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690a7f55046fdd796b0ffeb4_dealprepartifact.png
plan-your-literature-review,Plan your literature review,"With Claude as your research assistant, find relevant research, prioritize what to read, and organize evidence as you work through papers.",Research,Claude.ai,/resources/use-case/plan-your-literature-review,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690a7dd9b9eeb755886614c0_researchwithpubmed1.png
verify-statistics-from-raw-data,Verify statistics from raw data,Learn to evaluate published statistics by checking them against raw data.,Research,,/resources/use-case/verify-statistics-from-raw-data,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690a7cc0f2944881ea09581a_Screenshot%202025-11-04%20at%202.22.53%E2%80%AFPM.png
analyze-campaign-performance,Analyze campaign performance,"Analyze campaign performance data to identify your best and worst performing channels, then get specific budget reallocation recommendations for next quarter.",Marketing,Claude.ai,/resources/use-case/analyze-campaign-performance,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690b9a3ddb512de510ef08ed_Screenshot%202025-11-05%20at%2010.40.36%E2%80%AFAM.png
track-discovery-timelines-and-analyze-patterns,Track discovery timelines and analyze patterns,Build chronologies and identify document patterns across large discovery productions.,Legal,Claude.ai,/resources/use-case/track-discovery-timelines-and-analyze-patterns,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690a792fb7784f7a64c2c402_legaldocument.png
adapt-content-across-platforms,Adapt content across platforms,Transform one piece of content into multiple formats adapted for different platforms and audiences.,Marketing,Claude.ai,/resources/use-case/adapt-content-across-platforms,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690a7730d1d7914199893bf8_contentrepurpose.png
organize-your-business-finances,Organize your business finances,"Organize data into spreadsheets that show you trends, let you filter records, and help you understand your numbers.",Finance,Claude.ai,/resources/use-case/organize-your-business-finances,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690a788e265ae3505d1af4b0_Screenshot%202025-11-04%20at%202.04.51%E2%80%AFPM.png
turn-text-threads-to-researched-notes,Turn text threads to researched notes,"Search messages for information, research answers, and create organized notes directly in your Notes app.",Personal,Claude.ai,/resources/use-case/turn-text-threads-to-researched-notes,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690a78103d26e3c2a33c8053_Screenshot%202025-11-04%20at%202.02.46%E2%80%AFPM.png
create-new-hire-onboarding-guides,Create new hire onboarding guides,"Turn standard company information and a new hire's specific details into a personalized welcome guide. Claude organizes logistics, schedules, and key contacts into one clear document that helps new employees feel prepared from day one.",HR,Claude.ai,/resources/use-case/create-new-hire-onboarding-guides,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690a5dcdbef814c12521fc39_Screenshot%202025-11-04%20at%2012.10.49%E2%80%AFPM.png
analyze-patterns-in-user-feedback,Analyze patterns in user feedback,Find recurring themes and pain points across user feedback to separate meaningful patterns from noise.,Professional,,/resources/use-case/analyze-patterns-in-user-feedback,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690a78cf9db6602a3d9b94a5_Screenshot%202025-11-04%20at%202.05.57%E2%80%AFPM.png
generate-project-status-reports,Generate project status reports,"Pull status updates from your emails, Slack channels, meeting notes, and project tools to create a tracker that shows who's working on what, what's blocked, and where things stand—all in one place.",Professional,,/resources/use-case/generate-project-status-reports,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690a4d605ca4e2de836aac23_Screenshot%202025-11-04%20at%2011.00.43%E2%80%AFAM.png
preclinical-study-analysis,Preclinical study analysis,Build study reports by connecting to research platforms and compiling data across experiments.,Life Sciences,Claude.ai,/resources/use-case/preclinical-study-analysis,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/69161daf8088fbfd76d586f2_Screenshot%202025-11-13%20at%2010.04.28%E2%80%AFAM.png
genomic-data-analysis,Genomic data analysis,"With Claude as your research partner, analyze gene expression data to identify patterns and form testable hypotheses about biological mechanisms, while Claude handles the computational heavy lifting of bioinformatics and literature synthesis.",Life Sciences,Claude.ai,/resources/use-case/genomic-data-analysis,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/69161dc3e1f05e75f279107b_Screenshot%202025-11-13%20at%2010.03.54%E2%80%AFAM.png
build-financial-models,Build financial models,"Create investment analyses with complete financial models, scenario planning, and risk evaluation.",Finance,Claude.ai,/resources/use-case/build-financial-models,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690b0cf995f40a50d10d33b8_Screenshot%202025-11-05%20at%2012.22.50%E2%80%AFAM.png
draft-investment-memos,Draft investment memos,"Generate investment memos from platform data, formatted to match your firm's structure and requirements.",Finance,Claude.ai,/resources/use-case/draft-investment-memos,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690b0f6f22640e561aab082e_Screenshot%202025-11-05%20at%2012.21.00%E2%80%AFAM.png
elevate-claudes-design-using-skills,Elevate Claude's design using skills,Design a skill that automatically activates design principals into Claude’s outputs.,Personal,Claude.ai,/resources/use-case/elevate-claudes-design-using-skills,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690b2d7d83e225cf811004e4_Frame%201430106299.png
package-your-brand-guidelines-in-a-skill,Package your brand guidelines in a skill,"Package your brand guidelines into a skill to create presentations, spreadsheets, or documents that automatically match your preferred style.",Professional,Claude.ai,/resources/use-case/package-your-brand-guidelines-in-a-skill,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690b2d4b8554b697ab0271e1_Frame%201430106298.png
